id,nama_perguruan,regency_id,
188,SEKOLAH TINGGI TEOLOGI BAPTIS MEDAN,1275,
189,SEKOLAH TINGGI TEOLOGI PRESBYTERIAN MEDAN,1275,
190,INSTITUT AGAMA ISLAM NEGERI METRO,1872,
191,UNIVERSITAS BAITURRAHMAH,1371,
192,SEKOLAH TINGGI ILMU EKONOMI KBP,1371,
193,INSTITUT TEKNOLOGI DAN BISNIS PALCOMTECH,1671,
194,UNIVERSITAS MUHAMMADIYAH PALEMBANG,1671,
195,INSTITUT TEKNOLOGI KESEHATAN DAN BISNIS GRAHA ANANDA,7271,
196,SEKOLAH TINGGI ILMU ADMINISTRASI PEMBANGUNAN PALU,7271,
197,STISIP PANCA BHAKTI PALU,7271,
198,POLTEKKES KEMENKES PALU ,7271,
199,INSTITUT SAINS DAN BISNIS ATMA LUHUR,1971,
200,SEKOLAH TINGGI ILMU EKONOMI PERTIBA,1971,
201,AKADEMI KEBIDANAN ANDI MAKKASAU,7372,
202,INSTITUT ILMU SOSIAL DAN BISNIS ANDI SAPADA,7372,
203,STIT SYEKH BURHANUDDIN PARIAMAN,1377,
204,STIH PUTRI MAHARAJA,1376,
205,UNIVERSITAS LANCANG KUNING,1471,
206,MAHAD ALY AL-MUNAWWARAH,1471,
207,STMIK DHARMAPALA RIAU,1471,
208,UNIVERSITAS MUHAMMADIYAH PONTIANAK,6171,
209,AKADEMI MANAJEMEN PERUSAHAAN PANCA BHAKTI,6171,
210,SEKOLAH TINGGI ILMU EKONOMI BOEDI OETOMO,6171,
211,SEKOLAH TINGGI TEOLOGI PONTIANAK,6171,
212,UNIVERSITAS OSO,6171,
213,AKADEMI KOMUNITAS FAVORIT SAMARINDA,6472,
214,AKADEMI MARITIM INDONESIA SAMARINDA,6472,
215,POLITEKNIK NEGERI SAMARINDA,6472,
216,STMIK WIDYA CIPTA DHARMA ,6472,
217,SEKOLAH TINGGI ILMU KESEHATAN PAPUA,9171,
218,UNIVERSITAS KRISTEN PAPUA,9171,
219,SEKOLAH TINGGI ILMU EKONOMI BUKIT ZAITUN SORONG,9171,
220,AKADEMI FARMASI SURABAYA ,3578,
221,SEKOLAH TINGGI ILMU EKONOMI IBMT,3578,
222,UNIVERSITAS HANG TUAH,3578,
223,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN JAWA TIMUR,3578,
224,AKADEMI KOMUNITAS INDUSTRI TEKSTIL DAN PRODUK TEKSTIL SURAKARTA,3372,
225,SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN KOMPUTER AMIKOM SURAKARTA,3372,
