id,regency_id,nama_sekolah
226,3403,20402235 - SD MUHAMMADIYAH SIDOREJO SEMIN
227,3403,20402213 - SDN BANTALWATU TEPUS
228,3403,20402237 - SDN BALEHARJO WONOSARI
229,3403,20401959 - SMP SANJAYA NGAWEN
230,3403,20402014 - SMP NEGERI 3 NGLIPAR
231,3403,20401957 - SMP TAMAN DEWASA PLAYEN
232,3403,20402009 - SMP NEGERI 3 PLAYEN
233,3403,20402011 - SMP NEGERI 3 PONJONG
234,3403,20404242 - SMP NEGERI 2 PURWOSARI
235,3403,20402002 - SMP NEGERI 1 RONGKOP
236,3403,20401992 - SMP NEGERI 3 WONOSARI
237,3403,20402131 - SMK MUHAMMADIYAH KARANGMOJO
238,3403,20363276 - MAS AL-I`ANAH PLAYEN
239,3403,70035698 - MA THORIQUL MUKMININ MUHAMMADIYAH
240,3404,20401713 - SD NEGERI GUNGAN
241,3404,20409911 - SD NEGERI UMBULHARJO 2
242,3404,69956227 - MI Al Qodir
243,3404,20401659 - SD NEGERI CORONGAN
244,3404,20401668 - SD NEGERI CATURTUNGGAL 6
245,3404,20401497 - SD MUHAMMADIYAH DHURI
246,3404,20400922 - SD NEGERI POJOK
247,3404,20401515 - SD KANISIUS DUWET
248,3404,20404145 - SD ISLAM AL AZHAR 31 YOGYAKARTA
249,3404,20401537 - SD NEGERI KLACI
250,3404,20401688 - SD NEGERI KADISOBO II
251,3404,20411988 - MTSS YAYASAN MASYITHOH GAMPING
252,3404,20401085 - SMP NEGERI 2 NGEMPLAK
253,3404,69976396 - MTS AL-BAROKAH
254,3404,20401074 - SMP NEGERI 4 SLEMAN
255,3404,20411885 - MAS IBNUL QOYYIM
256,3404,69978039 - SMK ASSALAFIYYAH SLEMAN
257,3404,20401122 - SMAN 1 TEMPEL
258,3471,20403358 - SD TARAKANITA BUMIJO I
259,3471,20403441 - SD NEGERI MINGGIRAN
260,3471,20403512 - SD NEGERI GLAGAH
261,3471,20404162 - SMP ISLAM TERPADU BINA ANAK SHOLEH
262,3471,20403138 - SMAS MUHAMMADIYAH 6 YOGYAKARTA
263,3301,20301445 - SD NEGERI DOPLANG 03 ADIPALA
264,3301,60710158 - MIS MAARIF NU 11 BULAKSARI
265,3301,20338651 - SD NEGERI KARANGREJA 05 CIMANGGU
266,3301,20301388 - SD NEGERI CILUMPING KECAMATAN DAYEUHLUHUR
267,3301,20300365 - SD NEGERI PAKETINGAN 03 SAMPANG
268,3301,20338704 - SD NEGERI MARGASARI 01 SIDAREJA
269,3301,20300335 - SD NEGERI LIMBANGAN 08 KECAMATAN WANAREJA
270,3301,20300780 - SD NEGERI ADIMULYA 02 KECAMATAN WANAREJA
271,3301,20300540 - SMP NEGERI 9 CILACAP
272,3301,20300470 - SMP PGRI 27 CISURU
273,3301,20353127 - SMP NEGERI SATAP 6 MAJENANG
274,3301,20300594 - SMP TAMTAMA SIDAREJA
275,3301,20300702 - SMK YPE CILACAP
276,3301,20300751 - SMK DIPONEGORO MAJENANG
277,3302,20302606 - SDN 2 DARMAKRADENAN
278,3302,20302328 - SD NEGERI 1 CIBANGKONG
279,3302,20301761 - SD NEGERI 2 RAWAHENG
280,3302,20330455 - SMKS MUHAMMADIYAH 1 AJIBARANG
281,3302,69761896 - SMK PLUS TUNAS BANGSA KEBASEN
282,3302,20301929 - SMKS TEKNOLOGI NASIONAL PURWOKERTO
283,3302,69756323 - SMKS MAARIF NU 1 PURWOKERTO
284,3303,20303049 - SD NEGERI 2 KARANGGEDANG
285,3303,20303602 - SD NEGERI 1 CANDINATA
286,3303,20363493 - MTSS MA`ARIF NU 03 REMBANG
287,3304,60710723 - MIS GUPPI 01 DIWEK
288,3304,20303975 - SD NEGERI 1 PAKELEN
289,3304,20338238 - SD NEGERI 1 KEBANARAN
290,3304,60710817 - MIS MAARIF KALIPELUS
291,3304,20303969 - SD NEGERI PIASA WETAN
292,3305,20305783 - SD NEGERI 1 TANGGULANGIN
293,3305,20363547 - MTSS SULTAN AGUNG KALIPOH
294,3305,20363566 - MTSN 2 KEBUMEN
295,3305,20330327 - SMKS WONGSOREJO GOMBONG
296,3305,20362999 - MAS PLUS AL-IMAN
297,3305,20330323 - SMKS TAMTAMA 1 KEBUMEN
